Inf;Jogador;Nação;Clube;Posição;Expira;Data de Início do Contrato;Bravura;Agressividade;(Tendência) para Saídas da Baliza;Lançamentos;Idade;Posição;Pé Preferido;Nação de Nascimento;Altura;Região Nascimento;Data Nasc.;Melhor Pos;Susceptibilidade a Lesões;Emprestado Por;Último Clube;2ª Nac;Selecção Nacional;Unique ID;Técnica;Desarme;Marcação de Penáltis;Passe;Marcação;Lançamentos Longos;Remates de Longe;Cabeceamento;Livres;Primeiro Toque;Finalização;Finta;Cruzamentos;Cantos;Força;Resistência;Velocidade;Aptidão Física;Impulsão;Equilíbrio;Agilidade;Aceleração;Índice de Trabalho;Visão de Jogo;Posicionamento;Trabalho de Equipa;Sem Bola;Liderança;Imprevisibilidade;Determinação;Decisões;Concentração;Compostura;Antecipação;Saídas a Punhos;Reflexos;Pontapé;Um Para Um;Jogo de Mãos;Comunicação;Alcance Aéreo
;Dyllan Bustamante;USA;EC Bahia;PL (C);31/12/2027;9/10/2025;-;-;-;-;18;PL (C);Pé Preferido Desconhecido;E.U.A.;1,83 m;;21/12/2007;PL (C);Abaixo da Média;;Miami FC Academy;;S-21;2000516837;-;-;-;1-7;-;-;-;13-20;-;9-15;6-13;-;-;-;3-9;-;13-20;-;6-12;-;-;6-15;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Cacá;BRA;Vitória;D (C), MD;31/12/2028;7/1/2025;13-19;10-14;1-3;1-4;26;D (C), MD;Pé Direito;Brasil;1,87 m;Minas Gerais;25/4/1999;D (C);Abaixo da Média;Corinthians;Tokushima;;;19350725;11-15;9-13;2-8;10-14;12-16;7-11;8-12;10-14;5-11;9-13;9-15;5-11;6-10;4-8;12-16;13-17;10-14;11-15;12-16;8-14;6-12;11-15;15-19;5-9;13-19;9-13;7-13;5-9;10-14;11-15;11-15;11-15;9-13;10-16;3-7;1-7;1-5;1-3;1-3;1-5;1-2
;Caetano;BRA;RB Bragantino;D (C), MD, M (C);31/12/2027;4/1/2023;6-10;7-13;-;-;23;D (C), MD, M (C);Somente Pé Direito;Brasil;1,83 m;São Paulo;4/5/2002;MD;Acima da Média;;Botafogo SP;;;19409015;8-12;12-16;-;6-12;9-13;1-4;8-12;11-15;6-10;8-12;-;4-10;-;8-12;9-13;8-12;13-17;4-10;10-14;6-10;9-15;8-14;10-14;10-14;9-13;11-15;7-13;11-17;7-11;10-14;9-13;10-14;10-14;7-13;-;-;-;-;-;-;-
For;Cainan Santos;BRA;São Paulo;D/DA (D);31/12/2026;6/3/2025;-;-;-;-;17;D/DA (D);Pé Preferido Desconhecido;Brasil;1,78 m;;13/2/2008;DA (D);Acima da Média;;Retrô;;;2000448618;-;-;-;7-15;-;-;-;-;-;11-20;1-6;5-13;10-18;-;-;-;10-16;-;-;-;6-14;15-20;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Prt;Caio Alexandre;BRA;EC Bahia;MD, M (C);31/12/2028;18/1/2024;12-16;8-14;1-4;1-4;26;MD, M (C);Pé Direito;Brasil;1,75 m;Rio de Janeiro;24/2/1999;MD;Média;;Fortaleza;;;19360351;13-17;11-15;4-8;13-19;8-14;3-7;10-14;7-11;8-12;12-16;10-14;8-12;9-15;6-12;8-12;11-15;11-15;11-17;4-10;13-17;9-13;10-16;11-15;12-16;13-17;12-16;7-11;12-18;8-14;11-15;11-15;10-16;12-16;10-14;1-4;3-7;1-2;1-4;1-5;1-5;1-4
;Caio César;BRA;Cruzeiro;D/DA (D);31/1/2028;1/7/2025;-;-;-;-;18;D/DA (D);Pé Preferido Desconhecido;Brasil;1,94 m;Minas Gerais;10/9/2007;D (D);Abaixo da Média;;-;;;2002043482;-;14-20;-;-;8-14;-;-;-;-;7-13;-;-;6-15;-;5-11;-;9-16;-;-;-;-;1-9;-;-;3-10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Prt;Caio Garcia;BRA;Flamengo;MD, M (C);31/12/2026;6/2/2024;-;-;-;-;21;MD, M (C);Pé Preferido Desconhecido;Brasil;1,75 m;;3/4/2004;MD;Abaixo da Média;;Ferroviária;;;2000086336;-;8-14;-;10-18;-;-;4-9;-;-;9-14;-;-;-;-;6-11;-;-;-;-;-;-;-;9-14;9-15;-;-;-;-;2-10;-;-;-;-;-;-;-;-;-;-;-;-
;Caio Paulista;BRA;Grêmio;D/DA/M (E), MO (DE);31/12/2028;3/1/2024;9-15;5-9;1;1-5;27;D/DA/M (E), MO (DE);Pé Esquerdo;Brasil;1,83 m;São Paulo;11/5/1998;DA (E);Abaixo da Média;Palmeiras;Fluminense;;;19261679;13-17;4-8;7-13;11-15;5-9;5-9;11-15;6-10;6-12;10-14;8-14;9-15;10-14;9-13;10-14;13-17;9-13;9-13;9-13;9-15;8-14;11-15;11-15;8-12;7-13;8-12;9-15;6-10;12-16;6-10;11-15;8-12;9-13;6-12;1-5;1-7;1-3;1-3;1-4;1-3;1-3
;Caio Roque;BRA;Botafogo;D/DA/M (E);31/12/2027;29/12/2025;9-13;8-12;1-4;1-4;23;D/DA/M (E);Pé Esquerdo;Brasil;1,82 m;Rio de Janeiro;9/1/2002;D (E);Acima da Média;Portuguesa;EC Bahia;;;19371028;12-16;6-10;5-9;8-12;6-12;7-13;5-9;8-12;5-9;2-8;4-8;13-17;8-12;8-14;7-13;11-15;12-16;6-10;9-15;10-14;13-17;10-14;10-14;9-13;6-10;9-13;8-12;3-7;10-16;8-14;6-10;6-12;10-16;11-15;1-4;2-6;2-6;1-6;1-2;1-4;1-5
;Caio Suassuna;BRA;EC Bahia;PL (C);31/12/2027;22/8/2025;-;-;-;-;18;PL (C);Pé Preferido Desconhecido;Brasil;1,74 m;Pernambuco;23/3/2007;PL (C);Abaixo da Média;;Athletico-PR;;;2000319798;-;-;-;6-12;-;-;-;8-17;-;10-17;5-14;-;-;-;7-14;-;10-19;-;3-11;-;-;8-14;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Caio Valle;BRA;Botafogo;MO (D);30/4/2029;1/12/2025;-;-;-;-;18;MO (D);Pé Preferido Desconhecido;Brasil;1,71 m;Rio de Janeiro;11/10/2007;MO (D);Abaixo da Média;;-;;;2000491660;-;-;-;6-14;-;-;-;-;-;4-11;6-12;9-15;6-14;-;-;-;5-14;-;-;-;10-16;8-16;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Caíque;BRA;RB Bragantino;PL (C);29/9/2028;1/10/2025;-;-;-;-;17;PL (C);Pé Preferido Desconhecido;Brasil;1,83 m;;16/4/2008;PL (C);Abaixo da Média;;Azuriz;;;2000494591;-;-;-;5-13;-;-;-;5-15;-;2-10;9-15;-;-;-;3-11;-;3-13;-;10-18;-;-;7-15;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Caíque Gonçalves;BRA;Vitória;D (D), MD, M (C);31/12/2027;29/12/2025;12-16;14-18;1-4;1-6;30;D (D), MD, M (C);Pé Direito;Brasil;1,78 m;São Paulo;10/10/1995;MD;Acima da Média;;Juventude;;;19270810;6-12;12-16;6-10;12-16;10-14;6-12;5-11;9-13;5-9;9-15;5-9;8-12;7-11;3-7;13-19;10-16;10-14;13-17;7-11;8-12;11-15;12-16;10-16;11-15;11-15;12-16;7-11;11-15;5-9;12-18;10-16;8-12;8-14;11-15;1-3;1-3;1-4;1;2-6;1-7;1-4
;Caíque Takada;BRA;São Paulo;MO (E);31/8/2028;1/9/2025;-;-;-;-;18;MO (E);Pé Preferido Desconhecido;Brasil;1,69 m;São Paulo;21/5/2007;MO (E);Média;;-;Japão;;2000289085;-;-;-;9-17;-;-;-;-;-;2-9;11-17;6-12;8-16;-;-;-;5-14;-;-;-;7-13;9-17;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Les;Jonathan Calleri;ARG;São Paulo;PL (C);31/12/2026;23/3/2023;13-19;9-13;1;1-4;32;PL (C);Pé Direito;Argentina;1,81 m;;23/9/1993;PL (C);Média;;Osasuna;Itália;;14034934;13-17;1-5;7-13;10-14;5-9;2-6;12-16;12-16;4-10;11-15;10-16;8-14;8-12;7-11;12-16;16-20;9-13;12-16;11-15;12-18;10-16;12-16;17-20;8-12;7-13;12-16;11-17;8-12;10-14;13-17;13-17;10-14;10-14;12-18;3-7;1-7;1-5;1-4;1-4;1-5;1-3
;Camargo;BRA;Flamengo;PL (C);31/7/2027;1/8/2024;-;-;-;-;18;PL (C);Pé Preferido Desconhecido;Brasil;1,83 m;;12/4/2007;PL (C);Média;;-;;;2000520685;-;-;-;6-13;-;-;-;11-17;-;11-20;9-15;-;-;-;4-13;-;10-16;-;2-9;-;-;13-20;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Camilo;BRA;Chapecoense;MD, M (C);31/12/2027;3/2/2025;10-14;12-16;1-5;1-7;26;MD, M (C);Pé Direito;Brasil;1,78 m;São Paulo;23/2/1999;MD;Média;Grêmio;Akhmat;Países Baixos;;19377973;8-14;12-16;6-10;12-16;10-14;5-11;7-13;10-14;5-9;10-16;6-10;10-14;9-13;5-9;10-16;9-15;10-14;13-17;5-9;13-17;10-14;13-17;9-15;10-14;11-15;11-15;10-14;12-16;8-12;3-9;8-14;9-13;10-16;10-14;1-6;1-5;1-5;1-3;1-5;1-6;1-4
;Camutanga;BRA;Vitória;D (C);31/12/2026;1/12/2022;13-19;14-18;1-6;2-6;32;D (C);Somente Pé Direito;Brasil;1,89 m;Pernambuco;27/9/1993;D (C);Média;;Atlético Goianiense;;;19190175;4-8;13-19;7-11;7-11;11-15;5-9;7-11;13-19;8-14;9-13;4-10;4-8;4-8;2-6;15-19;11-15;8-14;11-15;13-17;9-15;8-12;10-14;12-16;6-12;10-16;12-18;8-12;12-16;8-12;14-18;6-10;10-14;8-12;12-16;1;1-4;1-5;1-3;1-5;3-7;2-8
;Germán Cano;ARG;Fluminense;PL (C);31/12/2026;6/1/2023;11-13;7;1-2;1-2;37;PL (C);Pé Direito;Argentina;1,76 m;Misiones;2/2/1988;PL (C);Acima da Média;;Vasco da Gama;;;14003037;13;4-7;15;13;6-8;4-6;12;14;6-8;12;14;12-14;12;6-8;12;10;12;11-13;10;11-13;11-13;12;14;11;9-11;11-14;16;17-19;13;16;12-15;13-15;13;11-13;1-3;1-3;1-2;2-4;1-2;1-3;1-4
;Agustín Canobbio;URU;Fluminense;M (D), MO (DE);31/12/2028;8/1/2025;12-16;15-19;2-6;1-7;27;M (D), MO (DE);Pé Direito;Uruguai;1,75 m;Montevideo;1/10/1998;MO (DE);Média;;Athletico-PR;Itália;A;78084523;7-13;7-11;10-14;12-16;7-11;5-11;8-14;7-11;6-10;10-16;10-14;10-14;11-15;4-8;11-17;12-18;11-15;15-19;4-8;12-16;11-15;13-17;15-20;9-13;9-13;15-19;11-15;7-11;8-12;11-17;8-14;10-14;10-16;11-15;1-5;2-6;1-5;1-2;2-6;1-7;1-4
;Aitor Cantalapiedra;ESP;Vitória;MO (DEC);30/6/2027;17/7/2025;6-10;8-14;2-6;1-5;29;MO (DEC);Pé Esquerdo;Espanha;1,77 m;Catalunha;10/2/1996;MO (D);Acima da Média;;AEK Larnakas;;;67201633;11-15;8-12;13-19;8-14;5-9;4-8;10-14;8-12;8-12;10-14;8-12;11-17;9-15;10-14;8-12;11-15;14-18;8-14;7-11;8-12;11-17;10-16;11-15;12-16;4-8;10-14;12-18;5-11;11-15;12-16;10-14;10-14;10-14;11-17;1-4;1-2;1-6;1-3;1-3;1-3;2-6
;Johan Carbonero;COL;SC Internacional;M/MO (DE);31/12/2028;29/12/2025;12-16;11-17;1-3;2-6;26;M/MO (DE);Somente Pé Direito;Colômbia;1,70 m;Andina;20/7/1999;MO (E);Alta;;Racing Club;;;76053940;12-16;5-9;2-6;9-15;4-10;7-11;8-12;7-11;8-12;9-13;12-16;9-13;9-15;7-13;10-14;11-15;14-18;12-18;2-8;14-18;12-16;15-20;6-10;7-11;7-11;7-11;9-13;6-12;10-16;13-17;6-10;6-12;9-13;9-13;1-5;2-6;1;1-3;1-5;1-4;1-5
;Carlinhos;BRA;Remo;PL (C);31/12/2026;4/4/2024;10-16;7-11;1-5;3-7;28;PL (C);Pé Direito;Brasil;1,95 m;São Paulo;12/2/1997;PL (C);Abaixo da Média;Flamengo;Nova Iguaçu;;;19270251;6-10;5-11;8-12;7-11;5-9;6-10;6-10;11-17;3-9;10-14;8-14;8-12;5-9;4-8;15-19;10-14;10-16;12-16;15-19;11-17;8-12;12-16;8-12;8-14;4-10;9-15;11-15;5-9;9-13;8-12;5-9;8-12;8-12;9-13;1-2;1-4;1-3;1-4;1-3;1-5;1-6
;Carlos Eduardo;BRA;Athletico-PR;GR;31/12/2027;30/4/2025;-;-;8-14;11-20;19;GR;Pé Preferido Desconhecido;Brasil;1,85 m;Minas Gerais;10/3/2006;GR;Alta;;-;;;2000438505;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5-14;2-8;10-18;-;14-20;-;7-13
;Carlos Eduardo;BRA;São Paulo;GR;31/7/2028;1/8/2025;-;-;10-16;2-12;17;GR;Pé Preferido Desconhecido;Brasil;1,85 m;;16/2/2008;GR;Média;;-;;;2000492531;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9-15;10-18;13-20;-;2-10;-;7-13
;Carlos Eduardo;BRA;Mirassol;MO (DE), PL (C);31/12/2026;4/6/2025;11-15;13-17;1-3;1-6;29;MO (DE), PL (C);Pé Direito;Brasil;1,73 m;Goiás;10/10/1996;MO (E);Média;;Vitória;;;19220698;8-14;6-10;8-12;12-16;4-8;2-8;8-14;7-11;6-10;10-16;9-13;11-15;10-14;3-7;8-14;8-14;11-15;18-20;3-7;11-15;12-16;16-20;10-16;10-14;6-10;9-13;12-16;5-9;8-12;10-16;4-10;5-9;8-14;9-13;1-3;1-5;1-3;1-3;2-6;1-6;1-4
;Carlos Eduardo;BRA;SC Internacional;D/DA (E);31/12/2027;4/11/2025;-;-;-;-;19;D/DA (E);Pé Preferido Desconhecido;Brasil;1,78 m;Rio de Janeiro;27/2/2006;D (E);Acima da Média;;-;;;2000273982;-;9-17;-;-;1-9;-;-;-;-;12-18;-;-;10-19;-;3-9;-;7-15;-;-;-;-;10-19;-;-;9-16;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Carlos Miguel;BRA;Palmeiras;GR;31/7/2030;15/8/2025;9-13;7-13;14-18;12-16;27;GR;Somente Pé Direito;Brasil;2,04 m;Rio de Janeiro;9/10/1998;GR;Acima da Média;;Nottingham Forest;;;19348822;4-8;2-6;1-6;4-10;1-3;1-4;1-3;6-10;4-8;6-10;1;1-5;1-3;2-6;15-19;8-12;9-13;9-15;18-20;5-9;10-16;5-11;9-13;11-15;10-14;12-16;1-6;3-9;3-7;10-14;11-15;9-13;9-13;11-17;13-17;10-14;9-15;12-16;9-15;10-14;20
;Carlos Vinícius;BRA;Grêmio;PL (C);31/12/2026;23/7/2025;10-16;13-17;1-7;3-7;30;PL (C);Pé Esquerdo;Brasil;1,92 m;Maranhão;25/3/1995;PL (C);Média;;Fulham;Portugal;;19242476;8-12;6-12;13-17;9-13;5-9;2-6;8-12;11-17;7-13;14-18;9-15;9-13;8-12;8-12;17-20;10-14;11-17;14-18;12-16;11-17;9-13;11-15;10-14;9-15;4-10;12-18;10-14;8-12;9-13;14-18;9-13;11-15;13-17;12-16;1;1-6;1-3;1-3;1-4;1-5;1-6
;Jorge Carrascal;COL;Flamengo;MO (DEC);31/12/2029;3/8/2025;8-12;5-9;1-3;1-5;27;MO (DEC);Pé Direito;Colômbia;1,79 m;Caribe;25/5/1998;MO (C);Acima da Média;;Dinamo Moscovo;;;76040911;15-19;8-12;13-17;9-13;2-8;1-6;8-12;5-9;11-15;11-17;9-13;17-20;8-12;11-17;5-11;11-15;11-15;8-12;7-13;10-14;16-20;10-14;8-12;12-16;6-10;10-14;14-18;4-8;14-20;9-15;8-12;8-14;6-12;12-16;1-3;1-5;3-7;1-6;1-2;1-5;1-3
;André Carrillo;PER;Corinthians;M (C), MO (D);31/12/2026;7/9/2024;9-13;4-8;1-3;1-5;34;M (C), MO (D);Pé Direito;Perú;1,80 m;Lima;14/6/1991;M (C);Abaixo da Média;;Al-Qadsiah;Portugal;;77012583;12-16;5-9;13-17;11-15;5-11;6-12;8-12;6-10;8-12;10-16;11-15;16-20;10-14;9-15;8-14;10-14;10-14;9-13;6-12;10-14;12-16;8-12;10-14;11-15;7-11;8-12;13-17;2-6;14-20;6-12;9-13;9-15;9-15;10-14;1-3;1-3;1-5;1-6;1-2;1-3;1-4
;Mateo Cassierra;COL;Atlético Mineiro;PL (C);31/12/2029;29/12/2025;11-15;8-14;1-4;1-4;28;PL (C);Pé Direito;Colômbia;1,86 m;Pacífica;13/4/1997;PL (C);Acima da Média;;Zenit;;;76043519;12-16;4-8;9-13;12-18;1-7;5-9;7-11;12-16;8-12;12-16;14-18;9-13;6-12;2-8;10-14;11-15;11-15;12-18;9-15;13-17;9-13;11-17;7-11;11-15;8-12;8-12;10-14;6-12;7-13;11-15;13-17;8-14;11-15;11-15;1-3;2-6;1;1-4;1-5;1-5;1-3
;Cássio;BRA;Cruzeiro;GR;31/5/2027;21/5/2024;12-16;8-14;10-14;11-15;38;GR;Pé Esquerdo;Brasil;1,95 m;Rio Grande do Sul;6/6/1987;GR;Abaixo da Média;;Corinthians;;;8833553;7-11;1-5;1-4;8-14;1-3;1-4;1-3;9-13;1-5;7-11;1-5;1-4;1-5;1-4;12-16;8-12;7-11;12-18;10-16;15-19;6-10;6-12;11-15;9-13;14-18;10-14;3-7;14-20;1-7;16-20;10-14;9-15;12-16;9-13;9-13;12-16;9-13;11-17;13-19;11-15;15-19
;Rodrigo Castillo;ARG;Fluminense;PL (C);31/12/2030;29/12/2025;13-17;11-17;1-3;2-6;26;PL (C);Pé Direito;Argentina;1,89 m;Santa Fe;26/2/1999;PL (C);Abaixo da Média;;Lanús;;;14223205;10-14;5-9;8-12;10-16;4-10;5-9;8-12;11-15;8-12;11-15;13-17;8-12;8-14;3-9;12-16;12-16;10-14;11-17;9-15;13-17;8-12;11-17;13-17;11-15;8-12;12-16;9-13;10-16;5-11;10-14;12-16;9-15;12-16;10-14;1-3;2-6;1-2;1-5;1-7;1-4;1-3
;Franco Catarozzi;URU;Remo;MD, M (C);31/12/2026;29/12/2025;10-16;14-18;1-3;1-3;25;MD, M (C);Pé Esquerdo;Uruguai;1,79 m;Montevideo;2/4/2000;M (C);Acima da Média;;Liverpool FC;Espanha;;2000064712;13-17;12-16;9-15;10-14;9-13;4-8;13-17;5-9;10-16;12-16;9-15;8-14;10-14;8-12;7-11;11-15;9-13;10-14;7-11;11-17;8-14;8-12;11-15;8-12;9-15;8-12;7-13;12-16;10-14;11-15;11-15;6-10;5-9;6-12;2-6;1-7;1-5;1-4;1-3;1-4;1-3
;Cauã Soares;BRA;Atlético Mineiro;PL (C);31/12/2027;1/10/2024;-;-;-;-;17;PL (C);Pé Preferido Desconhecido;Brasil;1,85 m;Minas Gerais;30/6/2008;PL (C);Abaixo da Média;;-;;;2000459964;-;-;-;5-13;-;-;-;2-12;-;1-8;10-16;-;-;-;3-11;-;3-13;-;10-18;-;-;7-15;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Cauã Zappelini;BRA;Botafogo;M/MO (C);31/7/2027;1/8/2024;-;-;-;-;18;M/MO (C);Pé Preferido Desconhecido;Brasil;1,69 m;;26/3/2007;MO (C);Abaixo da Média;;-;;;2000378011;-;1-9;-;10-18;-;-;7-16;-;-;4-11;-;-;-;-;1-8;-;-;-;-;-;-;-;5-14;7-16;-;-;-;-;9-16;-;-;-;-;-;-;-;-;-;-;-;-
;Cauan Barros;BRA;Vasco da Gama;MD, M (C);31/12/2026;8/3/2023;13;12;2;2;21;MD, M (C);Pé Direito;Brasil;1,83 m;Pernambuco;6/5/2004;MD, M (C);Média;;-;;;2000248821;12;13;7;12;13;8;10;11;6;12;12;12;9;8;14;14;12;13;11;12;12;12;15;12;14;14;10;10;10;16;13;13;13;13;3;3;2;2;2;1;3
;Cauan Farias;BRA;Vitória;D/DA/M/MO (E);31/12/2026;29/12/2025;-;-;-;-;19;D/DA/M/MO (E);Pé Preferido Desconhecido;Brasil;1,79 m;;3/10/2006;D (E);Abaixo da Média;;-;;;2000335686;-;-;-;7-13;-;-;-;-;-;7-15;11-20;3-12;8-14;-;-;-;3-10;-;-;-;7-16;12-18;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Cauê;BRA;RB Bragantino;D (E);31/12/2027;1/3/2024;-;-;-;-;19;D (E);Pé Preferido Desconhecido;Brasil;1,87 m;São Paulo;13/12/2006;D (E);Acima da Média;;Referência;;;2000488984;-;4-10;-;-;8-17;-;-;-;-;4-13;-;-;3-10;-;3-12;-;8-14;-;-;-;-;5-12;-;-;5-13;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Cauly;BRA;São Paulo;M (C), MO (DEC);31/12/2028;15/1/2024;2-8;7-11;1-7;2-6;30;M (C), MO (DEC);Pé Direito;Brasil;1,75 m;Bahia;15/9/1995;MO (C);Acima da Média;EC Bahia;Ludogorets;Alemanha;;91119875;10-14;6-12;11-15;12-16;4-8;4-8;10-14;6-12;9-15;13-17;9-15;13-17;10-14;11-15;7-11;11-15;10-16;12-16;5-9;9-15;13-17;11-15;6-10;13-19;4-10;8-14;12-16;6-10;14-18;9-13;7-11;6-10;12-16;10-14;1-2;1-3;1-5;1-4;1-4;1-5;1-6
D;Charles;BRA;Corinthians;MD, M (C);31/12/2028;24/7/2024;14-18;11-17;1-3;1-5;29;MD, M (C);Pé Direito;Brasil;1,87 m;Rio Grande do Sul;19/6/1996;MD;Média;;FC Midtjylland;;;19305263;10-14;11-15;5-9;11-17;9-15;9-13;10-14;11-15;5-9;9-13;10-14;7-11;8-14;5-11;12-16;9-13;10-14;10-16;10-16;11-15;7-11;11-17;11-15;11-15;13-17;11-15;9-13;10-16;6-12;14-18;10-14;8-14;10-14;8-12;2-6;3-7;1-2;1-4;1-7;1-4;1-3
;Chico da Costa;BRA;Cruzeiro;PL (C);31/12/2028;29/12/2025;10-14;7-11;1-3;1;30;PL (C);Pé Direito;Brasil;1,84 m;Rio Grande do Sul;5/5/1995;PL (C);Alta;;Cerro Porteño;;;51069231;11-17;2-8;9-13;11-15;6-10;2-6;10-16;9-15;10-14;7-11;11-15;10-14;8-12;11-15;9-13;9-15;9-15;10-14;14-18;11-15;11-15;11-15;9-15;7-13;8-12;6-12;10-14;9-13;14-18;9-13;10-16;12-16;8-12;11-15;1-5;1-4;1-4;1-5;1-5;1;1-3
;Chico Kim;KOR;Mirassol;M (C), MO (DEC);31/12/2026;10/12/2025;8-12;9-13;1-5;1-5;34;M (C), MO (DEC);Pé Direito;Brasil;1,75 m;Paraná;16/5/1991;MO (C);Abaixo da Média;;Juventude;Brasil;;19119371;10-16;7-11;11-15;12-16;4-8;5-11;7-13;7-11;11-15;10-16;8-12;10-14;12-16;10-14;6-12;8-14;10-14;11-15;4-8;10-14;11-15;12-16;7-13;11-15;7-11;10-14;11-15;8-12;6-10;11-17;8-14;7-11;10-16;9-13;1-4;1-5;1-3;1-3;3-7;1-5;1-3
Prt;Christian;BRA;Cruzeiro;MD, M (DC), MO (D);31/12/2027;1/1/2025;11-15;13-17;1-5;1-2;25;MD, M (DC), MO (D);Pé Direito;Brasil;1,78 m;Paraná;19/12/2000;M (C);Média;;Athletico-PR;;;19337951;9-15;9-15;8-12;10-14;12-16;4-8;8-14;6-12;5-9;8-12;8-12;10-14;9-13;11-15;5-9;11-17;10-16;11-15;9-13;11-15;11-15;12-16;13-19;7-13;9-13;11-17;11-15;6-10;11-15;9-13;10-16;13-17;10-14;12-16;1-7;1-3;1-5;2-6;1-3;1-2;1-3
;Christian Oliveira;BRA;Corinthians;MD;31/12/2027;29/12/2025;-;-;-;-;18;MD;Pé Preferido Desconhecido;Brasil;1,74 m;Piauí;19/2/2007;MD;Abaixo da Média;;Flamengo;;;2000443534;-;8-16;-;9-18;-;-;2-8;-;-;9-15;-;-;-;-;1-7;-;-;-;-;-;-;-;5-11;5-13;-;-;-;-;1-7;-;-;-;-;-;-;-;-;-;-;-;-
;Chrystian;BRA;RB Bragantino;M/MO (C);31/12/2028;18/8/2025;-;-;-;-;18;M/MO (C);Pé Preferido Desconhecido;Brasil;1,73 m;;31/3/2007;MO (C);Abaixo da Média;;Rio Branco (SP);;;2000378246;8-17;-;-;10-18;-;-;10-19;-;-;3-10;10-16;-;-;-;-;-;-;-;-;-;-;-;-;7-16;-;-;-;-;7-14;-;-;-;1-6;-;-;-;-;-;-;-;-
;Mamady Cissé;GUI;Atlético Mineiro;MD, M (C);31/12/2030;14/5/2025;-;-;-;-;18;MD, M (C);Pé Preferido Desconhecido;Guiné;1,84 m;Conakry;1/1/2007;M (C);Alta;;36 Lion;;S-20;2000460990;-;9-18;-;9-15;-;-;3-10;-;-;12-19;-;-;-;-;7-14;-;-;-;-;-;-;-;7-14;10-19;-;-;-;-;7-15;-;-;-;-;-;-;-;-;-;-;-;-
;Walter Clar;PAR;Chapecoense;D/DA/M (E);30/11/2026;8/9/2025;8-12;5-11;3-7;1-5;31;D/DA/M (E);Pé Esquerdo;Paraguai;1,77 m;Southern Paraguay;27/9/1994;DA/M (E);Abaixo da Média;;Tacuary;;;79024995;9-13;12-16;12-18;9-15;10-14;11-15;10-14;8-12;9-13;10-14;5-9;8-14;10-16;12-16;8-12;11-15;13-17;8-14;7-11;9-13;9-15;9-15;12-16;11-15;6-10;14-18;12-18;6-12;9-13;11-15;10-14;9-13;10-14;9-15;1-5;1-3;1-6;1-3;1-4;1-3;2-6
D;Claudinho;BRA;Vitória;D/DA (D);31/12/2027;9/1/2025;7-11;6-12;2-6;1-4;25;D/DA (D);Pé Direito;Brasil;1,80 m;Santa Catarina;24/9/2000;D (D);Acima da Média;;Criciúma;;;19364486;11-15;11-15;10-16;8-14;8-12;9-13;10-14;11-15;6-10;11-15;7-11;11-17;9-15;8-12;8-12;9-13;13-17;6-12;8-12;8-12;11-17;10-16;10-14;13-17;6-10;12-16;12-18;4-10;10-14;10-14;10-14;8-12;10-14;9-15;1-3;1;1-5;1-5;1-3;1-3;1-5
;Claudinho;BRA;Athletico-PR;D/DA (E);31/12/2028;29/12/2025;-;-;-;-;20;D/DA (E);Pé Preferido Desconhecido;Brasil;1,78 m;;26/10/2005;D (E);Alta;;Desportivo Brasil;;;2000437239;-;6-14;-;-;3-12;-;-;-;-;8-14;-;-;7-16;-;6-12;-;8-16;-;-;-;-;10-19;-;-;9-16;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Clayton Sampaio;BRA;SC Internacional;D (C);31/12/2028;31/8/2024;11-15;14-18;1-4;1-5;25;D (C);Pé Direito;Brasil;1,87 m;São Paulo;4/4/2000;D (C);Média;;AVS SAD;;;19306931;6-12;10-14;5-9;11-15;10-14;6-12;2-8;11-15;3-7;7-13;8-12;9-13;7-11;3-7;12-18;8-14;10-14;13-17;11-15;11-15;9-13;13-17;9-15;7-11;11-15;10-14;9-13;9-13;6-10;4-10;8-14;9-13;8-14;10-14;1-4;1-3;1-3;1;4-8;1-7;1-4
